"_id","joke","cat","nid"
"ZZuusYhI6I","Цинична статистика: За последните двадесет години от България са заминали да живеят в чужбина 4585 доктора, 1251 физика, 850 физика и нито един катаджия.","Доктори",14652
"ZZhZcVKyL_","Жена купува презервативи в аптеката: - Какви да бъдат: английски - дълги и тънки, или японски - къси и дебели? - Английски, но да са по-японски!","Жени",20084
"ZZB7Cp0y1i","- Докторе, бих искала да си уголемя гърдите. - На мен ми е все тая, правете каквото искате.","Доктори",43702
"zZ6ySKOGHGU","Пиян мъж със скъсана риза, по лицето следи от червило, в джоба празна бутилка ракия, се качва в автобуса и сяда до един свещеник. Отваря вестник и си чете. После се обръща към свещеника и пита: - Отче, а дали знаете от какво се получава артрит? - Артрит, сине мой, имат хората, които са избрали грешния път, които спят с пропаднали жени и злоупотребяват с алкохола! - Ама че гадно!... Пияният млъква и гледа замислено в пода. Свещеникът съжалил, че отговорил така рязко и пита: - Добре, сине! Отдавна ли имаш артрит? - Ама защо аз да имам артрит!? Аз нямам артрит! Тук във вестника пише, че патриархът има артрит...","Жени",19783
"zyLdBMKJwrb","Бригадир дава на подчинените си два бидона боя и задание да боядисат сградата. - Идвам да ви проверя на края на работния ден. На пичовете от бригадата им се пие, нямат пари, а работа и боя - колкото искаш. Решили да продадат боята и да изпият парите, но за да не ги хванат, намазват муцуната на близкостоящия кон с боя, а половин бидон продали и изпили. Бригадирът идва да провери. - Мдаааа, а защо не сте боядисали всичко? - Не ни стигна боята. - Абе, аз ви оставих и за утре да имате!... - Конят я изпи! - Какъв кон? - Ей оня с изцапаната в боя муцуна! - А, този ли! Още не е умрял, гадината! Миналата седмица изяде два палета с тухли и нищо му няма.","Пари",40534
"ZWa2m6u5j5h","В нощен клуб младеж кани мацка на бавен танц и накрая я целува. Мацката веднага тича към чантичката си, вади оттам смартфона си и почва нещо бързо да пише. Младежът се чуди: - Какво е станало? Какво толкова е спешно? - Нищо, нищо. Просто си сменям статуса във Фейсбук.","Младежи",26852
"zVQtrIFyA_","Доктор се усмихва като вижда болния и казва: - Днес изглеждате много по-добре. - Изпълнявам указанието от обратната страна на шишенцето с лекарството. - А именно? - ""Да се държи плътно затворено"".","Доктори",14251
"ZVqC7wfHxnX","Малко американско момиченце влиза рано в кухнята и вижда полугол мъж да рови в хладилника. Момиченцето: - мистър, вие сте нашия нов babysitter? Мъжа: - Не. Аз съм новия motherfucker.","Мъже",16346
"zvjWmm0CnfQ","- Приятели, няма да повярвате… Вчера ме отвлякоха извънземни! - Не може да бъде! - Всичко помня! Едни странни светлини и шумове, някаква малка стаичка, светещи копчета, движение нагоре… - Абе какви ти извънземни… Беше се напил и те носихме до вас в асансьора.","Извънземни",18582
"zviuOoTJnE_","Има две неща, които не искаш да чуеш за жена си: 1. Бих я изчукал. 2. Не бих я изчукал... --- Актуализация: 3. Чукал съм я...","Жени",20234
"zvitMiBI7h","Детенце се оплаква в детската градина, че Дядо Коледа бил голяма скръндза. Децата го питат защо: - Как защо?! Този дъртак вместо да донесе подаръл е оставил кутия бомбони, които родителите ми криеха в гардероба...","Разни",17122
"zucEtE_XT_","Заекващ пита плешив: - Ттттти кккккколлллккооо ппппплллаащаш пппри ффффррризззьора? Плешивия: - Не чак толкова, колкото ти при международни разговори!","Разни",18027
"ZU0-NUWv7X9","Стои си един рибар на брега и лови риба. По едно време от водата се показва един крокодил: - Как е, кълве ли? - Не. - Ами що не влезеш да се изкъпеш тогава?","Риболов",37967
"zR-rJk899r4","- Защо спипаха медиците в последния скандал с бебе? ""Радио Ереван"": - Щото в медицинския институт са имали двойка по говорим латински език.","Радио ереван",39843
"zQ_vvbI9Fa9","- Защо евреите празнуват Нова година през есента? - Есенните елхи са по-евтини.","Евреи",17336
"zq-6qHS1JBB","Отива заека в една баничарница и пита: - Имате ли 1000 банички? - Не. На другият ден пак идва: - Имате ли 1000 банички? - Не! Така и на следващия ден. Баничарят се замислил и решил да направи 1000 банички, щото решил, че заекът ще ги купува. Идва на четвъртия ден заека: - Имате ли 1000 банички? - Дааа, имаме! - Хммм, и кво ша ги праите толко много?","Животни",20931
"zpwfDQQHGx1","Трима ловджии си говорят за жените си: - Моята е като сърна! Стройна, нежна, с големи влажни очи... - А моята е хитра, лукава, бърза... Като лисица. - А моята пък, да ви кажа, външно изглежда като човек...","Животни",19233
"ZPp_bVDjZd","Пътуват двама за риба. - Я покажи колко е най-голямата риба, която си хващал някога! - За да не излизам от колата, ще ти покажа само колко й беше голямо окото.","Пътуване",40164
"znu6hpnqbY","Към входа на приятеля си отива блондинка. На входа звъни на домофона. Приятелят й отговоря: - Да? - Вкъщи ли си? - Не! На вилата съм!!! - А кога ще се прибереш вкъщи? - Утре! - Добре, дотогава значи!","Приятели",38398
"ZmAxW8oN6c","Възрастен господин бил поканен на вечеря от свои стари приятели. Човекът бил очарован от това, че цяла вечер неговият приятел се обръщал към жена си с думите ""Миличка"", ""Любима"", ""Захарче"" и т.н. Когато жената отскочила до кухнята, господинът се обърнал към домакина: - Намирам за прекрасно, че след толкова години семеен живот, вие двамата все още си говорите с галени имена... - Да ти кажа истината, забравих й името още преди 10 години...","Приятели",38391
"zLKAweiCu4","Попитали Орешарски: - Накъде отивате? - За гъби!","Гъбари",15940
"zlHk4w8xHx","Полицията, ФБР и ЦРУ се опитват да покажат на президента колко са добри в залавянето на престъпници. Той измисля изпитание за тях и пуска в гората един заек, който те трябва да търсят.  ЦРУ се впуска в действие. Разполага информатори из цялата гора, разпитва всички растителни и минерални свидетели и след две седмици стига до извода, че зайци не съществуват.  ФБР влиза в гората. След две седмици без каквито и да било улики те опожаряват цялата гора, избивайки всички вътре, включително и заека, и излизат с публична декларация, че така им се пада.  Полицията влиза в гората. След два часа излиза с една осакатена катеричка, която врещи:  - Добре, признавам, аз съм заек!","Разни",39877
"ZLFZp_HYWA5","Млад мъж пита врачка: - Може ли една жена да обича двама мъже? - Да, господине, но не забравяйте, че може да изневерява и на двамата!","Жени",19781
"zLeyVzlwHXw","Порно-звезда е при гинеколога: - Докторе, да се съблека ли? - Защо? Вчера гледах последния ви филм...","Гинеколози",15737
"ZKdaol1mF6a","Час по математика. Контролно. Учителката: - Пишете! Семейство - учител и учителка със заплати 240лв и 270лв, с две деца - на пет и девет години. Направете уравнение, при което с тези пари живеят нормално. След малко някой по-смел се обажда: - Госпожо, ама не може да се реши задачата!? - Не ме интересува, пиша на всички ви двойки, нищо, че вие не сте виновни...","Заплати",18178
"ZkAQOUndA_","Съпруг отишъл за охлюви, но заседнал със свой приятел да пие и осъмнал. На сутринта се прибира в къщи с охлювите, но за да не му се кара жена му ги наредил по стълбите, изчакал да се покажат от черупките и звъннал на вратата: - Къде ходи цяла нощ бе, хаймана? А той най-спокойно взел да подкарва животинките: - Пррррр, хайде по-живо момчета, почти стигнахме.","Жени",31807
"ZIvciXbTheb","Надпис на магазин: ""Секънд хенд - маркови дрехи""","Надписи",35904
"ziSdBViaLG","Учител попитал класа:  - Кажете, деца, какво събужда интереса на един човек? От първия ред Иванчо вдигнал ръка и казал: - Мъже, които гледат голи жени! Учителят: - Иванчо! Напусни класната стая и утре те искам с баща ти тук! На следващия ден учителят влезнал в класната стая и видял, че Иванчо седи на последния ред и е без баща си. Учителят попитал: - Иванчо, къде е баща ти и защо седиш на последния ред? А Иванчо отвърнал: - Баща ми каза, че щом не сте развълнуван като гледате голи жени, аз трябва да стоя настрана от вас!","Татковци",37148
"zIkHIfPezN","Жена след баня влиза в спалнята, сваля си хавлията и пита мъжа си: - Как съм? - Хубава! Ако беше и чужда - цена нямаше да имаш...","Жени",19573
"ZiJ1VAgS4O6","Програма на дискотеката в Перник: Понеделник: Латинопарти - бой с ножове Вторник: БГ парти - стрелба с пистолети Сряда: Ladys Night - масово сбиване заради жена Четвъртък: Ретро парти - бой със столове и бутилки Петък: Детско парти - млатене сред децата Събота: Рейв парти: стрелба с картечница Неделя: Метъл парти - бой с боксове и метални тръби","Разни",15010
"zglrw_Y4MP-","Един 102 годишен дядка решил да се жени за две години по-младата му съседка. Отишъл той в църквата да уговори датата с попа. Попа му казал обаче:  - Не мога чадо, тази седмица не мога, ела другата ще ви приема с булката.  - Хм, дядо попе, другата се жени татко, не мога.  Попът доста се стреснал, но отвърнал:  - Еми, чадо ела по-другата, пак ще съм свободен.  - Нееее, дядо попе, по-другата ще се жени дядо ми.  Попа вече едвам сдържайки го попитал:  - Абе какво е тва вашето семейство, кви са тия сватби? Как така дядо ти ще се жени?  - Ми и той не иска, ама техните го карат!","Жени",25076
"zG5JA7sVC8","- Защо повечето жени не могат да заспят след оргазъм? - Защото трябва да се приберат до вкъщи!","Жени",20171
"Zg-FM4517dj","Тича Мечо Пух при Прасчо и вика: - Бързо, дай ми пушката! Грабва пушката и изчезва. След пет минути се връща и влачи нещо голямо с едната ръка. В другата ръка носи буркан със сладко: - Ама какви пчели съм намерил само, Прасчо! Погледни, вместо мед носят сладко, а даже и приказват! Прасчо учуден пита: - Приказват!? И какво приказват? - Глупости приказва някакви. ""Аз съм Карлсон"", ""Аз съм Карлсон"" - ей такива ги разправяше!","Животни",19251
"ZFzviazRslF","Професор се ядосва: - Хей, вие там. Не можете да спите по време на лекцията ми! - Бих могъл най-спокойно, ако не говорехте толкова високо!!!","Професори",40767
"ZFpxhEAP8zg","Една блондинка се обажда по телефона и пита: - Ало, ""Силиконовата долина"" ли е? От другата страна мъжки глас: - Да, госпожице, но ние се занимаваме със съвсем други неща!!","Блондинки",14071
"zfKt6ve6HA","В малко полско градче при кмета-католик идва група евреи с молба: - Пътят към еврейското гробище е в ужасно състояние. Молим да наредите да бъде поправен! - Но защо? Толкова рядко умират евреи! - Как така рядко? Всяка седмица погребват най-малко двама евреи! - Е, добре. Ако писмено ми гарантирате, то ще подпиша нареждане за ремонта.","Разни",41399
"ZfHM6yi-HN","Срещнали се слона и мравката.Слонът казал: -Мравке,влез ми през хобота,мини през тялото ми и излез после през дупето ми -Добре.-казала мравката.Влезла тя през хобота на слона и тръгнала.А в това време слона викал: -О-о-о кеф о-о-о кеф! Излезла мравката през дупето и слона пак казал: -Мравке,хайде пак! -и тя пак направила същото и пак и пак.А слонът все викал:о-о-о кеф ,о-о-о кеф.Накрая обаче на мравката и писнало и казала: -Стига толкова слоне! -Добре ,мравке само още веднъж последно-обещавам. -О-ох,добре,ама последно. Влезнала пак мравката в хобота и в този момент слона си го пъхнал в задника и извикал: -О-о-о вечен кеф,вечен кеф!!!","Слонове",43661
"ZeLWlau06W","Двама ловци се срещат в гората:  - O, на лов? Ами ако срещнеш някоя мечка?  - Няма страшно - аз съм с памперс...","Ловци",16570
"ZEE5LqqLWg","На празника за Нова година в детската градина: - Дядо Мраз, благодаря за подаръка! - Няма за какво, детенце! - И аз така мисля, но мама държеше да ти благодаря!","Герои",15460
"ZebDue-QJC","Един телевизионен техник бил повикан в една къща. Но домакинята била толкова красива, че човекът не можел да свали очи от нея. Когато най-после техникът свършил с работата си, домакинята му платила и казала: - Аз... искам да ви помоля за... нещо необичайно. Но трябва да ви помоля да го запазите в тайна! Техникът бързо се съгласил. Жената продължила: - Малко ми е неудобно да говоря за това, но... моят съпруг, иначе е много свестен човек, но... има... физическа слабост. Дори, бих казала, че не може да се справя с някои неща. Исках да ви помоля за това още от мига, в който ви видях на врата. Аз съм жена, а вие сте мъж и си помислих, че бихте могъл... Техникът веднага отвърнал: - Да, да, да... - Бихте ли преместили този хладилник?","Жени",34354
"zdiMOuS-db","В училище, учителката: - Деца, от какво се правят саламите? Децата мълчат. - Иванчо, ти трябва да знаеш - твоя татко има фирма за колбаси. - Знам, но тате каза,че ако кажа на някой ще ме убие...","Иванчо",18995
"ZDcdgrfNVr","Дъщеря на холивудска звезда казва на съучениците си: - Аз ли нямам татко? Аз имам толкова татковци, колкото всички вие заедно!","Родители",21469
"zbCIJSduh4","Учителката пита децата: - Деца, какви лекарства знаете? Марийка: - Панадол. Петьо: - Аспирин. Иванчо: - Виагра... - ?? Иванчо, я кажи за какво е виаграта? - Как за какво? За разстройство! - Как така за разстройство? Защо реши така? - Чух я мама една вечер да казва на татко:""Ето, вземи една виагра, барем това твое лайно се стегне..""","Иванчо",35933
"ZaxWIJhBBF","Пациента: - Ходих и на няколко други доктори и нито един не се съгласи с вашата диагноза. Доктора: - Ще изчакаме аутопсията значи.","Доктори",14357
"zAIVyxyHyO","Каква е разликата между архитекта и инженера? Архитекта минава покрая някой нова сграда и си мисли: ""Колегата наистина е избрал една невероятно естетична форма."" Инженера минава покрай същата сграда и си мисли: ""Мама му стара, тоя архитект как е измъчил горкия колега с изчисленията.""","Професии",42489
"Z_QfN2LbOp6","Мъж се обажда на жена си по телефона и й казва, че е в КВД. - А какво е това КВД? - пита жената. - Кожно-венерически диспансер. - Ама ги пускаш и ти едни шеги. - Ти пускаш, а аз се лекувам!","Жени",20193
"z8eeXmLruy","На светофара в Мерцедес 600 се удря Лада Грант. От Мерцедеса излиза мутра и поглежда: - Какво е това? От Ладата се измъква мъж с АК-74 и вдига предпазителя: - Това е Лада Грант, автоматик!","Борци",37418
"z5GMTxFQYJ","Жена се прибира и намира мъжа си в леглото с друга. Мъжът: - Миче, бързо звъни в полицията, насилват ме!","Жени",33514
"z4TgQvGsKt","На вечеря във висшето общество на поручик Ржевски се паднало да разказва за птиците. - Е какво, може и за птиците. Ето например, хипопотамът има ей такъв задник и представете си - нито едно перо!","Герои",17732
"z0-MeikKRb9","Срещат се двама приятели:  - С какво се занимаваш напоследък?  - С лизинг и маркетинг.  - По-точно?  - Лепя марки в Централна поща...","Приятели",38089
"Z-vF4Yc4lPY","- Знаеш ли, че слушах, че умните жени не са добри съпруги. - Защо? - Защото не се омъжват.","Жени",19552
"Z--Ndyt32Li","- Иванчо, как се размножават растенията? - Растенията? За тях пък не знам...","Иванчо",35667
"yZh9B2Cm-FY","При доктора. - Пиете ли? - Не. - Пушите ли? - Не. - По жени ходите ли? - Не. - А варени картофи обичате ли? - Да. - НИКАКВИ ВАРЕНИ КАРТОФИ!","Жени",32023
"yz5nZ9QDvk","На въпроса ""Какви жени предпочитате - блондинки или брюнетки"" истинският мъж трябва да отговори: ""Да!"" Да пием за истинските мъже!","Брюнетки",12815
"YWeTQFQ7aA","Изпит в медицинския институт. Преподавателят: - Пищовите после не изхвърляйте, първите няколко години, когато станете практикуващи доктори, може отново да ви потрябват.","Лекари",13000
"yUIEdGSFbf6","Мъж-интелигент неочаквано се връща от комндировка. Разбира се, че не е предупредил жена си. Влиза си и чува сладострастни звуци от спалнята, поглежда и вижда, че с жена му е един едър мъж, а тя изпитва такова удоволствие, каквото той никога живота си не й е дал. Тихичко отишъл в кухнята, седнал, запалил цигара и изпаднал в тъжна меланхолия и самоанализ. ""Какъв съм егоист само!"", - мисли си той. "" И защо ми е толкова гадно, когато на другите им е толкова добре??""","Мъже",16345
